Rating,Reviews,Book_title,Description,Number_Of_Pages,Type,Price
4.31,161,Learn You a Haskell for Great Good!: A Beginner's Guide,"Learn You a Haskell for Great Good! is a fun, illustrated guide to learning Haskell, a functional programming language that's growing in popularity. Learn You a Haskell for Great Good! introduces programmers familiar with imperative languages (such as C++, Java, or Python) to the unique aspects of functional programming. Packed with jokes, pop culture references, and the a
...more",376,Paperback,36.7
4.31,161,Learn You a Haskell for Great Good!,"Learn You a Haskell for Great Good! is a fun, illustrated guide to learning Haskell, a functional programming language that's growing in popularity. Learn You a Haskell for Great Good! introduces programmers familiar with imperative languages (such as C++, Java, or Python) to the unique aspects of functional programming. Packed with jokes, pop culture references, and the a
...more",176,ebook,36.7
4.27,8,Unity in Action,"Unity in Action teaches you how to write and deploy games. You'll master the Unity toolset from the ground up, adding the skills you need to go from application coder to game developer. Based on Unity version 5.

About the Book

This book helps readers build successful games with the Unity game development platform. You will use the powerful C# language, Unity's intuitive work







...more",352,Paperback,37.02058824
4.05,"2,290",The Goal: A Process of Ongoing Improvement,"Written in a fast-paced thriller style, The Goal is the gripping novel which is transforming management thinking throughout the Western world.

Alex Rogo is a harried plant manager working ever more desperately to try and improve performance. His factory is rapidly heading for disaster. So is his marriage. He has ninety days to save his plant—or it will be closed by corporat



...more",384,Paperback,37.14117647
4.28,118,The Little Schemer,"The notion that “thinking about computing is one of the most exciting things the human mind can do” sets both The Little Schemer (formerly known as The Little LISPer) and its new companion volume, The Seasoned Schemer, apart from other books on LISP. The authors' enthusiasm for their subject is compelling as they present abstract concepts in a humorous and easy-to-grasp fa ...more",210,Paperback,37.32352941
4.43,57,Functional Programming in Scala,"Functional programming (FP) is a programming style emphasizing functions that return consistent and predictable results regardless of a program's state. As a result, functional code is easier to test and reuse, simpler to parallelize, and less prone to bugs. Scala is an emerging JVM language that offers strong support for FP. Its familiar syntax and transparent interoperab



...more",320,Paperback,37.43235294
4.5,59,High Performance Browser Networking,"How prepared are you when it comes to building network-enabled applications? This book provides what every web developer should know about the network—from fundamental limitations that affect performance to major innovations for building even more powerful browser apps. By understanding what the browser can and cannot do, you’ll be able to make better design decisions and









...more",400,Paperback,37.66176471
3.38,2,Sams Teach Yourself Perl in 24 Hours,"Learn Perl programming quickly and easily with 24 one-hour lessons in Sams Teach Yourself Perl in 24 Hours. The book's step-by-step lessons teach you the basics of Perl and how to apply it in web development and system administration. Plus, the third edition has been updated to include five chapters on new technologies, information on the latest version of Perl, and a look
...more",462,Paperback,38.23529412
3.87,122,Learn Python The Hard Way,"This simple book is meant to give you a first start in programming.

The title says it is the hard way to learn to write
code but it’s actually not. It’s the “hard” way only in that it’s the way people used to teach things. In this book you
will do something incredibly simple that all programmers actually do to learn a language:

1. Go through each exercise.
2. Type in each s













...more",210,Unknown Binding,38.29705882
4.29,64,Effective Python: 59 Specific Ways to Write Better Python,"Each item in Slatkin s ""Effective Python"" teaches a self-contained lesson with its own source code. This makes the book random-access: Items are easy to browse and study in whatever order the reader needs. I will be recommending ""Effective Python"" to students as an admirably compact source of mainstream advice on a very broad range of topics for the intermediate Python pro
...more",227,Paperback,38.62352941
3.97,21,"Programming in Lua, Fourth Edition","Lua is spreading more and more throughout different areas of software, from embedded systems and mobile devices to the Web and the Internet of Things. Besides, it has a major role in the game industry, where knowledge of Lua has become an indisputable asset. Lua is the language of choice for anyone who needs a scripting language that is simple, efficient, extensible, porta ...more",388,Paperback,38.75588235
4.25,200,Release It!: Design and Deploy Production-Ready Software (Pragmatic Programmers),"Whether it's in Java, .NET, or Ruby on Rails, getting your application ready to ship is only half the battle. Did you design your system to survivef a sudden rush of visitors from Digg or Slashdot? Or an influx of real world customers from 100 different countries? Are you ready for a world filled with flakey networks, tangled databases, and impatient users?

If you're a deve





...more",326,Paperback,39.19705882
3.89,15,Think Complexity: Complexity Science and Computational Modeling,"Expand your Python skills by working with data structures and algorithms in a refreshing context—through an eye-opening exploration of complexity science. Whether you’re an intermediate-level Python programmer or a student of computational modeling, you’ll delve into examples of complex systems through a series of exercises, case studies, and easy-to-understand explanation








...more",160,Paperback,39.61470588
4.29,75,A Tour of C++,"The C++11 standard allows programmers to express ideas more clearly, simply, and directly, and to write faster, more efficient code. Bjarne Stroustrup, the designer and original implementer of C++, thoroughly covers the details of this language and its use in his definitive reference, The C++ Programming Language, Fourth Edition. In A Tour of C++ , Stroustrup excerpts the ...more",192,Paperback,40.10588235
4.2,1,Reviewing C++,"Reviewing C++ is the best introductory guide booking to learning C++ programming. Written by computer programming expert Alex Maureau, Reviewing C++ covers the most seen topics in introductory programming courses such as conditions, loops, arrays, classes and pointers. Reviewing C++ provides educated insight into some advanced C++ programming concepts such as linked lists, ...more",546,Paperback,40.47941176
3.78,3,Functional Programming Application and Implementation,Functional Programming Application and Implementation Hardcover,350,Hardcover,41.24411765
4.54,52,The Elements of Computing Systems: Building a Modern Computer from First Principles,"This book is based on an abstraction-implementation paradigm; each chapter presents a key hardware or software abstraction, a proposed implementation that makes it concrete and an actual project. The books also provides a companion web site that provides the toold and materials necessary to build the hardware and software.",325,Hardcover,41.25294118
4.34,4,Simulation of Digital Communication Systems using Matlab,"Are you interested in simulation of communication systems in Matlab and do not know where to start? If so, your search for a good text ends here. Some of the simulation topics include various digital modulation and channel coding techniques, OFDM, fading channels, random distributions .Essential topics in digital communication are also introduced to foster better understan





...more",422,Kindle Edition,41.30588235
4.49,68,Game Programming Patterns,"Game Programming Patterns brings the benefits of reusable design patterns to the world of game programming. Commercial game development expert Robert Nystrom presents an array of general solutions to problems encountered in game development. For example, you'll learn how double-buffering enables a player to perceive smooth and realistic motion, and how the service locator




...more",300,Paperback,41.37647059
4.11,43,The Practice of Programming (Addison-Wesley Professional Computing Series),"With the same insight and authority that made their book The Unix programming Environment a classic, Brian Kernighan and Rob Pike have written The Practice of Programming to help make individual programmers more effective and productive.",288,Paperback,41.40588235
4.15,18,From Mathematics to Generic Programming,"In this substantive yet accessible book, pioneering software designer Alexander Stepanov and his colleague Daniel Rose illuminate the principles of generic programming and the mathematical concept of abstraction on which it is based, helping you write code that is both simpler and more powerful. If you're a reasonably proficient programmer who can think logically, you have







...more",320,ebook,41.40588235
3.82,39,REST in Practice: Hypermedia and Systems Architecture,"Why don't typical enterprise projects go as smoothly as projects you develop for the Web? Does the REST architectural style really present a viable alternative for building distributed systems and enterprise-class applications?

In this insightful book, three SOA experts provide a down-to-earth explanation of REST and demonstrate how you can develop simple and elegant distri










...more",448,Paperback,41.89117647
4.4,496,The Visual Display of Quantitative Information,"The classic book on statistical graphics, charts, tables. Theory and practice in the design of data graphics, 250 illustrations of the best (and a few of the worst) statistical graphics, with detailed analysis of how to display data for precise, effective, quick analysis. Design of the high-resolution displays, small multiples. Editing and improving graphics. The data-ink
...more",197,Hardcover,42.03235294
3.97,18,Fearless Change: Patterns for Introducing New Ideas,"""All that have ever tried to impose change in their organization will immediately recognize and truly value the in-depth knowledge and experience captured in this book. It contains a collection of eye-openers that is a treasure chest for pioneers of new organizational ideas, A fantastic toolbox for use in future missions!""
--Lise B. Hvatum, product development manager, Schl

























...more",304,Hardcover,42.14411765
4.02,13,Elements of Programming,"""Ask a mechanical, structural, or electrical engineer how far they would get without a heavy reliance on a firm mathematical foundation, and they will tell you, 'not far.' Yet so-called software engineers often practice their art with little or no idea of the mathematical underpinnings of what they are doing. And then we wonder why software is notorious for being delivered

















...more",262,Hardcover,42.23529412
3.58,10,Learning Ruby,"You don't have to know everything about a car to drive one, and you don't need to know everything about Ruby to start programming with it. Written for both experienced and new programmers alike, Learning Ruby is a just-get-in-and-drive book -- a hands-on tutorial that offers lots of Ruby programs and lets you know how and why they work, just enough to get you rolling down




...more",260,Paperback,42.26470588
3.75,47,The Design of Design: Essays from a Computer Scientist,"Making Sense of Design Effective design is at the heart of everything from software development to engineering to architecture. But what do we really know about the design process? What leads to effective, elegant designs? The Design of Design addresses these questions. These new essays by Fred Brooks contain extraordinary insights for designers in every discipline. Brooks ...more",421,Paperback,42.26470588
4.67,1,Build Web Applications with Java: Learn every aspect to build web applications from scratch,"This book is primarily intended for beginners who wants to learn various aspects of software engineering and building web applications using Java programming language.

There are many good books available in the market which independently teach Java, Web Servers, MVC based Frameworks, JSP, PL/SQL, AJAX, JavaScript, CSS, HTML5, UML, SDLC etc. This book covers all of these t









...more",372,Paperback,42.27647059
4.33,33,More Effective C++,"More than 150,000 copies in print! Praise for Scott Meyers' first book, Effective C++ ""I heartily recommend Effective C++ to anyone who aspires to mastery of C++ at the intermediate level or above.""
- The C/C++ User's Journal From the author of the indispensable Effective C++, here are 35 new ways to improve your programs and designs. Drawing on years of experience, Meyers










...more",336,Paperback,42.27647059
4.2,23,Cryptography Engineering: Design Principles and Practical Applications,"The ultimate guide to cryptography, updated from an author team of the world's top cryptography experts. Cryptography is vital to keeping information safe, in an era when the formula to do so becomes more and more challenging. Written by a team of world-renowned cryptography experts, this essential guide is the definitive introduction to all major areas of cryptography: me



...more",353,Paperback,42.36764706
4.3,61,Effective JavaScript: 68 Specific Ways to Harness the Power of JavaScript,"""It's uncommon to have a programming language wonk who can speak in such comfortable and friendly language as David does. His walk through the syntax and semantics of JavaScript is both charming and hugely insightful; reminders of gotchas complement realistic use cases, paced at a comfortable curve. You'll find when you finish the book that you've gained a strong and compr ...more",240,Paperback,42.52058824
3.73,31,Machine Learning for Hackers,"If you're an experienced programmer interested in crunching data, this book will get you started with machine learning--a toolkit of algorithms that enables computers to train themselves to automate useful tasks. Authors Drew Conway and John Myles White help you understand machine learning and statistics tools through a series of hands-on case studies, instead of a traditi

...more",322,Paperback,42.55588235
4.29,395,Code Complete,"Widely considered one of the best practical guides to programming, Steve McConnell's original CODE COMPLETE has been helping developers write better software for more than a decade. Now this classic book has been fully updated and revised with leading-edge practices--and hundreds of new code samples--illustrating the art and science of software construction. Capturing the



...more",914,Paperback,42.61470588
3.86,8,Making Games with Python & Pygame,Making Games with Python & Pygame is a programming book that covers the Pygame game library for the Python programming language. Each chapter gives you the complete source code for a new game and teaches the programming concepts from these examples. The book is available under a Creative Commons license and can be downloaded in full for free from http: //inventwithpython.c ...more,366,Paperback,43.16470588
3.82,43,Big Data: Principles and best practices of scalable realtime data systems,"Services like social networks, web analytics, and intelligent e-commerce often need to manage data at a scale too big for a traditional database. As scale and demand increase, so does Complexity. Fortunately, scalability and simplicity are not mutually exclusive—rather than using some trendy technology, a different approach is needed. Big data systems use many machines wor



...more",328,Paperback,43.31470588
4.04,746,The Mythical Man-Month: Essays on Software Engineering,"Few books on software project management have been as influential and timeless as The Mythical Man-Month. With a blend of software engineering facts and thought-provoking opinions, Fred Brooks offers insight for anyone managing complex projects. These essays draw from his experience as project manager for the IBM System/360 computer family and then for OS/360, its massive
...more",322,Paperback,43.37058824
4.28,464,The Clean Coder: A Code of Conduct for Professional Programmers,"Programmers who endure and succeed amidst swirling uncertainty and nonstop pressure share a common attribute: They care deeply about the practice of creating software. They treat it as a craft. They are professionals. In The Clean Coder: A Code of Conduct for Professional Programmers, legendary software expert Robert C. Martin introduces the disciplines, techniques, t ...more",210,Paperback,44.36470588
4.2,79,Programming Pearls,"The first edition of Programming Pearls was one of the most influential books I read early in my career, and many of the insights I first encountered in that book stayed with me long after I read it. Jon has done a wonderful job of updating the material. I am very impressed at how fresh the new examples seem. - Steve McConnell When programmers list their favorite books, Jo ...more",239,Paperback,44.36470588
4.5,65,C# in Depth,"C# has changed significantly since it was first introduced. With the many upgraded features, C# is more expressive than ever. However, an in depth understanding is required to get the most out of the language.

C# in Depth, Second Edition is a thoroughly revised, up-to-date book that covers the new features of C# 4 as well as Code Contracts. In it, you'll see the subtleties



...more",554,Paperback,44.42647059
3.98,66,Learning Perl,"Learning Perl, better known as ""the Llama book"", starts the programmer on the way to mastery. Written by three prominent members of the Perl community who each have several years of experience teaching Perl around the world, this edition has been updated to account for all the recent changes to the language up to Perl 5.8.

Perl is the language for people who want to get wor
















...more",312,Paperback,44.64117647
3.83,4,"The Scrumban [R]Evolution: Getting the Most Out of Agile, Scrum, and Lean Kanban","Create Thriving, High-Performing Teams and Organizations with Scrumban
Scrumban allows you to use Kanban as a catalyst for increasingly valuable changes to your existing software development processes, amplifying and expanding upon Scrum’s benefits. Now, there’s a definitive guide to Scrumban that explains what it is (and isn’t), how and why it works, and how to use it
...more",384,Kindle Edition,45.02941176
4.18,11,Real-World Machine Learning,"Summary

Real-World Machine Learning is a practical guide designed to teach working developers the art of ML project execution. Without overdosing you on academic theory and complex mathematics, it introduces the day-to-day practice of machine learning, preparing you to successfully build and deploy powerful ML systems.

Purchase of the print book includes a free eBook in PDF,









































...more",264,Paperback,45.11470588
3.96,53,PHP and MySQL Web Development (Developer's Library),"Includes material and code on MySQL 5, PHP 5 and on PHPs object model and validation. This book helps you develop websites by integrating and implementing the PHP scripting language and the MySQL database system. It contains real-world examples and working sample projects that give you a foundation to start building your own websites.",1008,Paperback,45.32647059
3.67,1,Managing Data Using Excel,"Microsoft Excel is a powerful tool that can transform the way you use data. This book explains in comprehensive and user-friendly detail how to manage, make sense of, explore and share data, giving scientists at all levels the skills they need to maximize the usefulness of their data.

Readers will learn how to use Excel to:

Build a dataset (how to handle variables and notes













...more",324,Paperback,45.33529412
4.72,362,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","Want to know how the best software engineers and architects structure their applications to make them scalable, reliable, and maintainable in the long term? This book examines the key principles, algorithms, and trade-offs of data systems, using the internals of various popular software packages and frameworks as examples.

Tools at your disposal are evolving and demands on

...more",616,Paperback,45.56176471
3.37,1,Unity Virtual Reality Projects,"If you are a non-programmer unfamiliar with 3D computer graphics, or experienced in both but new to virtual reality, and are interested in building your own VR games or applications then this book is for you. Any experience in Unity is an advantage. Learn the basic principles of virtual reality applications and get to know how they differ from games and desktop apps. Build ...more",286,Paperback,45.66470588
4.25,41,The Sciences of the Artificial,"Continuing his exploration of the organization of complexity and the science of design, this new edition of Herbert Simon's classic work on artificial intelligence adds a chapter that sorts out the current themes and tools -- chaos, adaptive systems, genetic algorithms -- for analyzing complexity and complex systems. There are updates throughout the book as well. These tak


...more",248,Paperback,45.84117647
4.03,70,Programming Ruby: The Pragmatic Programmers' Guide,"Ruby is an increasingly popular, fully object-oriented dynamic programming language, hailed by many practitioners as the finest and most useful language available today. When Ruby first burst onto the scene in the Western world, the Pragmatic Programmers were there with the definitive reference manual, Programming Ruby: The Pragmatic Programmer's Guide.

Now in its second ed












...more",828,Paperback,46
4.13,122,Python for Data Analysis,"Python for Data Analysis is concerned with the nuts and bolts of manipulating, processing, cleaning, and crunching data in Python. It is also a practical, modern introduction to scientific computing in Python, tailored for data-intensive applications. This is a book about the parts of the Python language and libraries you'll need to effectively solve a broad set of data an











...more",400,Paperback,46.31764706
3.93,55,Data Science from Scratch: First Principles with Python,"Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. In this book, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch.
If you have an aptitude for mathematics and
...more",330,Kindle Edition,46.31764706
4.62,28,The Linux Programming Interface: A Linux and Unix System Programming Handbook,"The Linux Programming Interface is the definitive guide to the Linux and UNIX programming interface—the interface employed by nearly every application that runs on a Linux or UNIX system.

In this authoritative work, Linux programming expert Michael Kerrisk provides detailed descriptions of the system calls and library functions that you need in order to master the craft of

































...more",1506,Hardcover,46.35882353
4.4,875,Clean Code: A Handbook of Agile Software Craftsmanship,"Even bad code can function. But if code isn t clean, it can bring a development organization to its knees. Every year, countless hours and significant resources are lost because of poorly written code. But it doesn t have to be that way.
Noted software expert Robert C. Martin presents a revolutionary paradigm with Clean Code: A Handbook of Agile Software Craftsmanship . M






...more",434,Paperback,46.57352941
4.17,452,Peopleware: Productive Projects and Teams,"Two of the computer industry's most popular authors and lecturers return with a new edition of the software management book that started a revolution.With humor and wisdom drawn from years of management and consulting experience, DeMarco and Lister demonstrate that the major issues of software development are human, not technical -- and that managers ignore them at their p













...more",245,Paperback,46.67647059
4.08,163,Extreme Programming Explained: Embrace Change (The XP Series),"Nearly five years after the first edition of this book exploded on to the market, noted software engineering guru and the father of Extreme Programming (XP)Kent Beck provides a fresh look at this controversial topic. XP remains themost popular agile methodology in software development, and many believe itis ideal for small to mid-size development organizations. However, XP ...more",224,Paperback,46.87058824
4.08,168,Test Driven Development: By Example,"Quite simply, test-driven development is meant to eliminate fear in application development. While some fear is healthy (often viewed as a conscience that tells programmers to ""be careful!""), the author believes that byproducts of fear include tentative, grumpy, and uncommunicative programmers who are unable to absorb constructive criticism. When programming teams buy into ...more",216,Paperback,48.62941176
3.79,59,UML Distilled: A Brief Guide to the Standard Object Modeling Language,"More than 300,000 developers have benefited from past editions of UML Distilled . This third edition is the best resource for quick, no-nonsense insights into understanding and using UML 2.0 and prior versions of the UML. Some readers will want to quickly get up to speed with the UML 2.0 and learn the essentials of the UML. Others will use this book as a handy, quick refer ...more",208,Paperback,48.62941176
4.22,26,Effective STL: 50 Specific Ways to Improve Your Use of the Standard Template Library,"C++'s Standard Template Library is revolutionary, but until now, learning to use it well has been a challenge. In this book, best-selling author Scott Meyers exposes critical rules of thumb experts use to get the most out of STL. Using the same clear, concise approach that made Effective C++ so successful, he shows developers exactly how to unravel STL's complexities -- an ...more",288,Paperback,49.04117647
4.23,32,Introduction to Computation and Programming Using Python,"This book introduces students with little or no prior programming experience to the art of computational problem solving using Python and various Python libraries, including PyLab. It provides students with skills that will enable them to make productive use of computational techniques, including some of the tools and techniques of ""data science"" for using computation to m



...more",280,Paperback,49.18235294
4.14,92,Essential Scrum: A Practical Guide to the Most Popular Agile Process,"A Practical Guide to the Most Popular Agile Process The Single-Source, Comprehensive Guide to Scrum for All Team Members, Managers, and Executives If you want to use Scrum to develop innovative products and services that delight your customers, Essential Scrum is the complete, single-source reference you've been searching for. Leading Scrum coach ...more",496,Paperback,49.62352941
4.54,171,Practical Object Oriented Design in Ruby,"The Complete Guide to Writing More Maintainable, Manageable, Pleasing, and Powerful Ruby Applications Ruby's widely admired ease of use has a downside: Too many Ruby and Rails applications have been created without concern for their long-term maintenance or evolution. The Web is awash in Ruby code that is now virtually impossible to change or extend. This text helps you so ...more",247,Paperback,50.09411765
3.58,4,The Boost C++ Libraries,"The second edition of ""The Boost C++ Libraries"" introduces 72 Boost libraries that provide a wide range of useful capabilities. They help you manage memory and process strings more easily. They provide containers and other data structures that go well beyond what the standard library offers. They make it easy to build platform-independent network applications. Simply put, ...more",570,Paperback,50.51176471
4,0,Building an FPS Game with Unity,"Create a high-quality first person shooter game using the Unity game engine and the popular UFPS and Probuilder frameworks
About This Book Learn how to use Unity in conjunction with UFPS and ProBuilder to create a high-quality game quickly Create both interior and exterior environments A step-by step guide to building a project with clear examples and inst
...more",326,Paperback,50.72647059
4.4,1,The It Handbook for Business: Managing Information Technology Support Costs,"Over spending on IT Support? Businesses pay huge amounts of money for technical support. A large portion of these expenditures can be greatly reduced, and even eliminated, by simply educating the business-person on IT support procedures. The IT Handbook for Business was written to give you an inside look at the practices of the Information Technology support industry. Fill ...more",180,Paperback,51.17647059
4.21,27,"DIV, Grad, Curl, and All That: An Informal Text on Vector Calculus","Since the publication of the First Edition over thirty years ago, Div, Grad, Curl, and All That has been widely renowned for its clear and concise coverage of vector calculus, helping science and engineering students gain a thorough understanding of gradient, curl, and Laplacian operators without required knowledge of advanced mathematics.",176,Paperback,51.17647059
3.93,1,Design and Validation of Computer Protocols,"This volume discusses the fundamental problems of designing logically consistent methods of communication between multiple computer processes. Standard protocol design problems, such as error control and flow control, are covered in detail, but also structured design methods and the construction of formal validation models. The book contains complete listings and explanati ...more",512,Paperback,51.36176471
4.11,52,The Psychology of Computer Programming,"This landmark 1971 classic is reprinted with a new preface, chapter-by-chapter commentary, and straight-from-the-heart observations on topics that affect the professional life of programmers.Long regarded as one of the first books to pioneer a people-oriented approach to computing, The Psychology of Computer Programming endures as a penetrating analysis of the intelligence





...more",292,Paperback,51.43235294
4.34,63,Make Your Own Neural Network,"A gentle journey through the mathematics of neural networks, and making your own using the Python computer language.

Neural networks are a key element of deep learning and artificial intelligence, which today is capable of some truly impressive feats. Yet too few really understand how neural networks actually work.

This guide will take you on a fun and unhurried journey,















...more",252,Kindle Edition,51.46470588
4.08,35,Accelerated C++: Practical Programming by Example,"Want to learn how to program in C++ immediately? Want to start writing better, more powerful C++ programs today? Accelerated C++'s uniquely modern approach will help you learn faster and more fluently than you ever believed possible. Based on the authors' intensive summer C++ courses at Stanford University, Accelerated C++ covers virtually every concept that most professio ...more",352,Paperback,51.47352941
3.83,11,The Rails Way,"The expert guide to building Ruby on Rails applications Ruby on Rails strips complexity from the development process, enabling professional developers to focus on what matters most: delivering business value. Now, for the first time, there's a comprehensive, authoritative guide to building production-quality software with Rails. Pioneering Rails developer Obie Fernandez an ...more",851,Paperback,51.47352941
4.18,50,The Joy of Clojure,"About the Book

If you've seen how dozens of lines of Java or Ruby can dissolve into just a few lines of Clojure, you'll know why the authors of this book call it a ""joyful language."" Clojure is a dialect of Lisp that runs on the JVM. It combines the nice features of a scripting language with the powerful features of a production environment—features like persistent data str












...more",328,Paperback,51.47352941
4.23,2,"More Exceptional C++: 40 New Engineering Puzzles, Programming Problems, and Solutions",This text contains coverage of optimization in both single and multi threaded environments. It emphasizes generic programming and using the C++ Standard Library.,304,Paperback,51.47352941
4.23,6,"Exceptional C++ Style: 40 New Engineering Puzzles, Programming Problems, and Solutions","Exceptional C++ Style continues where Exceptional C++ and More Exceptional C++ left off. This book follows in the tradition of the first two: It delivers new material, organized in bite-sized Items and grouped into themed sections. Readers of the first two books will find some familiar section themes, now including new material, such as exception safety, generic programmin ...more",325,Paperback,51.47352941
4.12,9,Computational Geometry: Algorithms and Applications,"Computational geometry emerged from the ?eld of algorithms design and analysis in the late 1970s. It has grown into a recognized discipline with its own journals, conferences, and a large community of active researchers. The success of the ?eld as a research discipline can on the one hand be explained from the beauty of the problems studied and the solutions obtained, and, ...more",386,Hardcover,52.03823529
4.28,404,Head First Design Patterns,"You're not alone.

At any given moment, somewhere in the world someone struggles with the same software design problems you have. You know you don't want to reinvent the wheel (or worse, a flat tire), so you look to Design Patterns--the lessons learned by those who've faced the same problems. With Design Patterns, you get to take advantage of the best practices and experie











...more",638,Paperback,52.15882353
4.18,134,"Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation","Winner of the 2011 Jolt Excellence Award!

Getting software released to users is often a painful, risky, and time-consuming process. This groundbreaking new book sets out the principles and technical practices that enable rapid, incremental delivery of high quality, valuable new functionality to users. Through automation of the build, deployment, and testing process, and imp

...more",463,Hardcover,52.48823529
4.15,69,Quantum Computing Since Democritus,"Written by noted quantum computing theorist Scott Aaronson, this book takes readers on a tour through some of the deepest ideas of maths, computer science and physics. Full of insights, arguments and philosophical perspectives, the book covers an amazing array of topics. Beginning in antiquity with Democritus, it progresses through logic and set theory, computability and c ...more",370,Paperback,52.86470588
3.93,9,Data Structures and Algorithms,"The authors' treatment of data structures in Data Structures and Algorithms is unified by an informal notion of ""abstract data types,"" allowing readers to compare different implementations of the same concept. Algorithm design techniques are also stressed and basic algorithm analysis is covered. Most of the programs are written in Pascal.",448,Paperback,53.17352941
4.33,1,Android NDK Game Development Cookbook,"In Detail
Android NDK is used for multimedia applications which require direct access to a system's resources. Android NDK is also the key for portability, which in turn provides a reasonably comfortable development and debugging process using familiar tools such as GCC and Clang toolchains. If your wish to build Android games using this amazing framework, then this book
...more",320,Paperback,53.39705882
4.22,13,Assembly Language: Step-By-Step,"Begins with the most fundamental, plain-English concepts and everyday analogies progressing to very sophisticated assembly principles and practices. Examples are based on the 8086/8088 chips but all code is usable with the entire Intel 80X86 family of microprocessors. Covers both TASM and MASM. Gives readers the foundation necessary to create their own executable assembly ...more",448,Paperback,53.89411765
3.91,57,Effective Programming: More Than Writing Code,"Jeff Atwood began the Coding Horror blog in 2004, and is convinced that it changed his life. He needed a way to keep track of software development over time – whatever he was thinking about or working on. He researched subjects he found interesting, then documented his research with a public blog post, which he could easily find and refer to later. Over time, increasing nu



...more",283,ebook,54.71764706
4.18,302,Building Microservices: Designing Fine-Grained Systems,"Distributed systems have become more fine-grained in the past 10 years, shifting from code-heavy monolithic applications to smaller, self-contained microservices. But developing these systems brings its own set of headaches. With lots of examples and practical advice, this book takes a holistic view of the topics that system architects and administrators must consider when










...more",262,Paperback,54.93529412
4.21,8,"Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions","Exceptional C++ shows by example how to go about sound software engineering in standard C++. Do you enjoy solving thorny C++ problems and puzzles? Do you relish writing robust and extensible code? Then take a few minutes and challenge yourself with some tough C++ design and programming problems. The puzzles and problems in Exceptional C++ not only entertain, they will help ...more",208,Paperback,56.07941176
4.25,1,Reviewing Java,"Reviewing Java provides you with all the insight and direction you need to learn introductory Java programming. Reviewing Java covers the most seen topics in introductory programming courses such as conditions, loops, arrays, classes and inheritance. Reviewing Java touches on some advanced Java programming concepts such as linked lists, stacks, queues, exceptions, sorting ...more",658,Paperback,56.59117647
4.35,2,Microsoft Visual C# Step by Step,"Your hands-on guide to Microsoft Visual C# fundamentals with Visual Studio 2015
Expand your expertise--and teach yourself the fundamentals of programming with the latest version of Visual C# with Visual Studio 2015. If you are an experienced software developer, you'll get all the guidance, exercises, and code you need to start building responsive, scalable Windows 10 and U






...more",816,Paperback,56.63235294
4.25,275,Refactoring: Improving the Design of Existing Code,"As the application of object technology—particularly the Java programming language—has become commonplace, a new problem has emerged to confront the software development community. Significant numbers of poorly designed programs have been created by less-experienced developers, resulting in applications that are inefficient and hard to maintain and extend. Increasingly, so ...more",431,Hardcover,57.15294118
4.19,116,"Growing Object-Oriented Software, Guided by Tests","Foreword by Kent Beck ""The authors of this book have led a revolution in the craft of programming by controlling the environment in which software grows."" --Ward Cunningham ""At last, a book suffused with code that exposes the deep symbiosis between TDD and OOD. This one's a keeper."" --Robert C. Martin ""If you want to be an expert in the state of the art in TDD, you nee ...more",345,Paperback,57.15294118
4.24,26,Modern C++ Design: Generic Programming and Design Patterns Applied,"In Modern C++ Design, Andrei Alexandrescu opens new vistas for C++ programmers. Displaying extraordinary creativity and virtuosity, Alexandrescu offers a cutting-edge approach to software design that unites design patterns, generic programming, and C++, enabling programmers to achieve expressive, flexible, and highly reusable code. The book introduces the concept of generi ...more",360,Paperback,58.42941176
4.46,164,Structure and Interpretation of Computer Programs (MIT Electrical Engineering and Computer Science),"Structure and Interpretation of Computer Programs has had a dramatic impact on computer science curricula over the past decade. This long-awaited revision contains changes throughout the text. There are new implementations of most of the major programming systems in the book, including the interpreters and compilers, and the authors have incorporated many small changes tha ...more",657,Paperback,58.94411765
4.46,164,Structure and Interpretation of Computer Programs,"There are new implementations of most of the major programming systems in this revised book, including the interpreters and compilers, and the authors have incorporated many small changes that reflect their experience teaching the computer science course at MIT since the first edition was published.",657,Hardcover,58.94411765
4,1,Beginning Game Programming: A Gamedev.Net Collection,"Welcome to ""Beginning Game Programming: A GameDev.net Collection,"" the second in a series of books published in collaboration with GameDev.net, the online community where game developers worldwide can network and freely exchange information and ideas. Assembled in print for the first time, and comprised of the best introductory programming articles that have appeared on Ga ...more",514,Paperback,59.08235294
3,0,Advanced Game Programming: A Gamedev.Net Collection,"Welcome to ""Advanced Game Programming: A GameDev.net Collection,"" the fourth in a series of books published in collaboration with GameDev.net, the online community where game developers worldwide can network and freely exchange information and ideas. Assembled in print for the first time, and comprised of the best advanced programming articles that have appeared on GameDev ...more",464,Paperback,59.08235294
